detected 8780830, inserted: 8780830 lines out of 4846853993; not in taxo: 4837926119
Done processing the product/categories file
2020-05-22 14:48:13,130 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:13,130 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:13,135 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:13,135 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:13,135 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:13,135 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:13,138 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:13,138 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:13,139 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:13,139 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:13,651 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:13,651 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:13,651 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:13,651 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:13,652 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:13,652 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:13,652 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:13,652 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:13,653 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:13,653 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:13,732 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:13,732 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:13,732 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:13,732 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:13,732 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:13,732 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:13,733 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:13,733 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:13,733 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:13,733 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:13,889 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:13,889 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:13,889 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:13,889 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:13,889 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:13,889 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:13,891 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:13,891 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:13,891 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:13,891 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:16,413 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:16,413 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:16,413 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:16,413 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:48:16,414 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:16,414 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:48:16,415 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:16,415 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:48:16,416 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:16,416 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:48:16,677 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:16,677 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:48:16,677 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
